Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Cajun Shrimp & Quinoa Casserole,100,38,4.3,1.9,0.1,29.2,210.2,10.4,1.1,1.2,5.3,7,23,4,5,0,0,0,0,0,1,1,0,1,0,0
Spicy Peruvian Chicken,183,122,13.5,3.5,0.2,63.5,477.4,1.5,0.1,1.1,13.1,3,5,1,5,0,0,0,0,0,0,0,0,0,0,0
Grilled Tri-color Carrots w/ Peruvian Salsa Verde,184,176,19.5,2.9,0,1,543.1,2.2,1.1,0.7,1,11,47,2,2,1,0,0,0,0,0,1,0,0,0,0
Roasted Broccoli,71,44,4.9,0.7,0,0,186.2,6.2,2.8,1.2,2,26,92,3,3,0,1,0,0,0,0,0,0,0,0,0
Brown Rice Lentil & Black Bean Saute,131,42,4.6,0.6,0,0,219.2,18.2,4.4,1.1,4.8,16,2,2,9,0,1,0,0,0,0,0,0,0,0,0
Mexican Stewed Cactus,56,35,3.9,0.5,0,0,276.6,5.1,2,0.9,1.3,10,9,6,3,0,1,0,0,0,0,0,0,0,0,0
Roasted Red Potatoes,26,6,0.7,0.1,0,0,8.7,4.5,0.4,0.3,0.5,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0
Turkey Noodle Soup,59,23,2.5,0.5,0,13.9,94.5,3,0.5,0.8,5.9,28,2,1,2,0,0,0,0,1,1,1,0,0,0,0
Tuscan Bean Soup,92,7,0.8,0.1,0,0,585.1,16.9,4.9,1.7,5.9,4,12,6,9,0,1,0,0,0,1,0,0,0,0,0
Peruvian Style Beef w/ Potato,196,131,14.5,4.8,0,32,493.2,6.3,0.8,1.2,9.9,4,8,1,12,0,0,0,0,1,1,0,0,0,0,0
Garlic Rice,69,25,2.7,0.4,0,0,279.7,9.7,0.3,0.6,1.1,0,1,1,2,0,1,0,0,0,1,0,0,0,0,1
Cuban Black Beans Plantains & Egg Bowl,208,90,9.9,2.3,0.3,121.9,134.3,24.2,2.2,5.8,6.5,40,22,5,10,1,0,0,0,0,1,1,1,0,0,0
Garlic Rice,69,25,2.7,0.4,0,0,279.7,9.7,0.3,0.6,1.1,0,1,1,2,0,1,0,0,0,1,0,0,0,0,1
Buffalo Chicken Wings,214,126,14,6.6,0.3,116.2,886.4,0,0,0,20.9,6,0,1,4,0,0,0,0,0,0,1,0,0,0,0
Cole Slaw,50,27,3,0.5,0,2.3,136,5.9,1.2,2.8,0.7,11,29,2,2,1,0,0,0,0,1,0,1,0,0,1
French Fries,179,82,9.1,1.2,0.1,0,128.7,22.1,2.4,0.1,2.2,0,7,1,3,0,1,0,0,0,0,0,0,0,0,1
Cilantro Pesto Steak Pizza,146,114,12.6,4.1,0,23.8,122.3,2,0.2,0.4,6.8,6,16,8,4,0,0,0,0,1,0,1,0,0,0,0
Cheese Pizza,203,81,9,2.7,0,11.2,249.9,24.5,1.2,0.8,8.1,3,2,8,9,1,0,0,0,1,0,1,0,0,0,0
Pepperoni Pizza,241,112,12.4,3.8,0.1,19.4,378.8,24.5,1.2,0.8,9.9,3,3,9,10,0,0,0,0,1,0,1,0,0,0,0
Blended Burger,386,155,17.2,7.3,0.8,103.1,501.1,32.9,1.8,5.4,24.8,3,2,5,23,0,0,0,0,1,1,1,1,0,0,0
Ground Beef Chili,219,79,8.7,2.9,0,22.1,2611.9,19.4,5.3,3.5,11.5,12,25,5,43,0,0,0,0,0,0,0,0,0,0,0
Lime Cilantro Chicken Breast,138,33,3.6,0.9,0,63.3,66.8,1.7,0.1,0.8,23.3,1,2,2,5,0,0,0,0,1,1,1,0,0,0,0
Lime Cilantro Chicken Sandwich,276,119,13.2,2.3,0,70.7,289.5,14.6,1,7.2,24.1,42,35,4,7,0,0,0,0,1,1,1,1,0,0,0
Multi Veggie Burger,321,142,15.7,10.2,0,0,609.4,41.4,7.8,7.5,5.9,60,37,8,12,0,1,0,0,1,1,0,0,0,0,0
Cheddar Cheese,111,89,9.9,6.2,0,30.8,197.2,0,0,0,6.2,7,0,18,0,1,0,0,0,0,0,1,0,0,0,0
Kettle Chips,19,4,0.5,0.1,,0,44.9,3.3,0.3,0,0.3,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
Provolone Cheese Sliced,100,68,7.5,4.8,,19.6,248.3,0.6,0,0.2,7.3,5,0,21,1,1,0,0,0,0,0,1,0,0,0,0
Swiss Cheese,108,71,7.9,5,,26.1,54.4,1.5,0,0.4,7.6,5,0,22,0,1,0,0,0,0,0,1,0,0,0,0
Blondie w/ Walnuts,95,43,4.8,3.2,0.1,15.5,29.8,12.3,0.1,6.3,1,2,0,1,2,1,0,0,1,1,1,1,1,0,0,0
Chocolate Silk Pie,260,154,17.1,7,0.2,53.6,216.5,24.4,0.5,10.4,2.9,7,0,4,4,0,0,0,0,1,1,1,1,0,0,0
Deep Dish S'Mores,426,181,20.1,11.4,0.5,35,341.8,63.9,0.8,23.3,3.7,8,0,2,13,0,0,0,0,1,1,1,0,0,0,0
Double Chocolate Cake,216,90,10,2.7,,27,177.4,30.1,0.8,21.6,2.3,,,,,1,0,0,0,1,1,1,1,0,0,0
Flan,138,52,5.8,2.9,0.1,101.4,28,19.6,0,18.3,3,5,3,7,4,0,0,0,0,0,0,1,1,0,0,0
Triple Chocolate Chip Cookie,343,155,17.1,5.1,2.6,17.1,197.1,42.9,1.7,27.4,3.4,0,0,0,10,1,0,0,0,1,1,1,1,0,0,0
Vegan Apple Crisp,249,66,7.4,1.7,0,0,112,43.8,3.3,18.9,3.5,7,2,3,7,0,1,0,0,1,0,0,0,0,0,0
