Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Cajun Shrimp & Quinoa Casserole,100,38,4.3,1.9,0.1,29.2,210.2,10.4,1.1,1.2,5.3,7,23,4,5,0,0,0,0,0,1,1,0,1,0,0
Michoac&#225;n Flank Steak,144,55,6.1,2.3,0,57.3,655.3,0.7,0.4,0.1,20.6,6,0,2,8,0,0,0,0,0,0,0,0,0,0,0
Spicy Peruvian Chicken,183,122,13.5,3.5,0.2,63.5,477.4,1.5,0.1,1.1,13.1,3,5,1,5,0,0,0,0,0,0,0,0,0,0,0
Grilled Tri-color Carrots w/ Peruvian Salsa Verde,184,176,19.5,2.9,0,1,543.1,2.2,1.1,0.7,1,11,47,2,2,1,0,0,0,0,0,1,0,0,0,0
Roasted Broccoli,71,44,4.9,0.7,0,0,186.2,6.2,2.8,1.2,2,26,92,3,3,0,1,0,0,0,0,0,0,0,0,0
Latin Beans & Rice,93,27,3,0.4,0,0,223.2,14.2,1.9,0.6,2.4,10,4,2,5,0,1,0,0,0,0,0,0,0,0,0
Mexican Stewed Cactus,56,35,3.9,0.5,0,0,276.6,5.1,2,0.9,1.3,10,9,6,3,0,1,0,0,0,0,0,0,0,0,0
Roasted Red Potatoes,64,3,0.3,0,0,0,54.3,13.7,1.3,1,1.6,0,15,1,3,0,1,0,0,0,0,0,0,0,0,0
Turkey Noodle Soup,59,23,2.5,0.5,0,13.9,94.5,3,0.5,0.8,5.9,28,2,1,2,0,0,0,0,1,1,1,0,0,0,0
Tuscan Bean Soup,92,7,0.8,0.1,0,0,585.1,16.9,4.9,1.7,5.9,4,12,6,9,0,1,0,0,0,1,0,0,0,0,0
Acapulco Smokey Chicken Enchiladas,212,67,7.5,3.7,0,52,888.9,16.8,2.9,2.8,20,33,18,14,18,0,0,0,0,1,0,1,0,0,0,0
Mexican Rice,103,45,5,0.7,0,0,292.4,13.2,0.1,0.4,1.3,1,1,1,3,0,1,0,0,0,1,0,0,0,0,1
Refried Beans,100,42,4.7,0.7,0,0,124.4,11.3,3.7,0.3,3.7,0,4,2,13,0,1,0,0,0,0,0,0,0,0,1
Acalpulco Cheese Enchiladas,240,118,13.1,1.5,0,7.4,890.8,18.9,1.2,1.7,11.2,93,3,6,2,1,0,0,0,1,1,1,0,0,0,0
BBQ Brisket,217,120,13.3,5,0,75.4,525.6,2.4,0.5,0.8,20.7,2,1,2,10,0,0,0,0,0,0,0,0,0,0,0
Macaroni & Cheese,137,73,8.1,4.6,0,22.5,433.1,9.6,0.4,2.6,6.2,6,0,16,7,1,0,0,0,1,1,1,1,0,0,0
Roasted Vegetable Pizza,53,29,3.2,1.9,0,11.2,90.2,2.9,0.6,0.8,3.5,3,5,8,1,1,0,0,0,1,0,1,0,0,0,0
Cheese Pizza,203,81,9,2.7,0,11.2,249.9,24.5,1.2,0.8,8.1,3,2,8,9,1,0,0,0,1,0,1,0,0,0,0
Pepperoni Pizza,241,112,12.4,3.8,0.1,19.4,378.8,24.5,1.2,0.8,9.9,3,3,9,10,0,0,0,0,1,0,1,0,0,0,0
Blended Burger,386,155,17.2,7.3,0.8,103.1,501.1,32.9,1.8,5.4,24.8,3,2,5,23,0,0,0,0,1,1,1,1,0,0,0
Veggie Burger,310,71,7.8,1.2,0.1,1.9,713.1,40.3,8.6,6.8,22,33,10,12,20,0,1,0,0,1,1,0,0,0,0,0
Cheddar Cheese,111,89,9.9,6.2,0,30.8,197.2,0,0,0,6.2,7,0,18,0,1,0,0,0,0,0,1,0,0,0,0
Kettle Chips,19,4,0.5,0.1,,0,44.9,3.3,0.3,0,0.3,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
Provolone Cheese Sliced,100,68,7.5,4.8,,19.6,248.3,0.6,0,0.2,7.3,5,0,21,1,1,0,0,0,0,0,1,0,0,0,0
Swiss Cheese,108,71,7.9,5,,26.1,54.4,1.5,0,0.4,7.6,5,0,22,0,1,0,0,0,0,0,1,0,0,0,0
Brownie Cookie,298,108,12,3.1,0,12.5,230,47.1,1.5,27,3.5,0,0,2,9,1,0,0,0,1,1,1,1,0,0,0
Blondie w/ Walnuts,95,43,4.8,3.2,0.1,15.5,29.8,12.3,0.1,6.3,1,2,0,1,2,1,0,0,1,1,1,1,1,0,0,0
Chocolate Silk Pie,260,154,17.1,7,0.2,53.6,216.5,24.4,0.5,10.4,2.9,7,0,4,4,0,0,0,0,1,1,1,1,0,0,0
Deep Dish S'Mores,426,181,20.1,11.4,0.5,35,341.8,63.9,0.8,23.3,3.7,8,0,2,13,0,0,0,0,1,1,1,0,0,0,0
Double Chocolate Cake,216,90,10,2.7,,27,177.4,30.1,0.8,21.6,2.3,,,,,1,0,0,0,1,1,1,1,0,0,0
Flan,138,52,5.8,2.9,0.1,101.4,28,19.6,0,18.3,3,5,3,7,4,0,0,0,0,0,0,1,1,0,0,0
Triple Chocolate Chip Cookie,343,155,17.1,5.1,2.6,17.1,197.1,42.9,1.7,27.4,3.4,0,0,0,10,1,0,0,0,1,1,1,1,0,0,0
Vegan Apple Crisp,249,66,7.4,1.7,0,0,112,43.8,3.3,18.9,3.5,7,2,3,7,0,1,0,0,1,0,0,0,0,0,0
